epoch,train_loss,test_loss,train_accuracy,test_accuracy
1,1.8842694,1.97537698,0.30422,0.2918
2,1.70256839,1.80307313,0.37364,0.3468
3,1.62014563,1.73574146,0.40938,0.3745
4,1.56165291,1.6856402,0.43208,0.3933
5,1.52273241,1.66712242,0.44818,0.4076
6,1.48849605,1.58836942,0.45974,0.4327
7,1.46004424,1.62180735,0.47146,0.4251
8,1.44028617,1.59217784,0.4777,0.4284
9,1.41668128,1.54411147,0.48908,0.4468
10,1.39719886,1.51959471,0.4951,0.4759
11,1.37541101,1.51446442,0.50406,0.4665
12,1.36112503,1.4922354,0.50896,0.467
13,1.34312834,1.45359421,0.51868,0.4857
14,1.33388763,1.43820061,0.51932,0.4834
15,1.31818652,1.43243643,0.52644,0.4902
16,1.3023067,1.40716886,0.53298,0.5033
17,1.29259089,1.36914407,0.53422,0.5093
18,1.27914535,1.44149859,0.5408,0.4903
19,1.27263956,1.32826244,0.54318,0.5248
20,1.26079361,1.39106428,0.54906,0.5111
21,1.25357259,1.33837752,0.54914,0.5243
22,1.24234625,1.33605266,0.55494,0.5202
23,1.23383724,1.32781491,0.55598,0.5308
24,1.22244628,1.30937879,0.56146,0.5332
25,1.21290076,1.320493,0.5654,0.5314
26,1.2095642,1.29689491,0.56498,0.5459
27,1.19829499,1.25726019,0.56982,0.5547
28,1.18882384,1.2633669,0.5734,0.555
29,1.18090475,1.29386668,0.57642,0.5389
30,1.17246822,1.27058287,0.58052,0.5465
31,1.1656645,1.28830732,0.5819,0.5454
32,1.159445,1.24975539,0.58558,0.5563
33,1.14688405,1.19648093,0.58868,0.5804
34,1.14197179,1.2222988,0.58922,0.5696
35,1.13362272,1.22443627,0.59506,0.5682
36,1.12902916,1.19219547,0.59836,0.5795
37,1.11498495,1.24107218,0.6021,0.568
38,1.11230013,1.1876347,0.60072,0.5812
39,1.10414416,1.17866542,0.60648,0.5844
40,1.09305145,1.15731647,0.60946,0.592
41,1.08982863,1.1960998,0.61168,0.5813
42,1.08514082,1.19834938,0.6136,0.5775
43,1.073856,1.15989723,0.61704,0.5908
44,1.06284524,1.14678485,0.62062,0.5978
45,1.06645062,1.15987228,0.6188,0.5907
46,1.05377755,1.12916896,0.62532,0.5997
47,1.04999567,1.14834915,0.625,0.5966
48,1.04109044,1.21002551,0.63016,0.5755
49,1.03393513,1.15683944,0.62948,0.5965
50,1.02775346,1.09906243,0.63396,0.6117
51,1.0236405,1.13468894,0.63416,0.5992
52,1.01865601,1.18018362,0.6377,0.5968
53,1.00787969,1.11231906,0.63884,0.6114
54,1.00655529,1.12810254,0.64204,0.6063
55,0.9973819,1.10423873,0.6462,0.6098
56,0.99607046,1.06624902,0.646,0.6168
57,0.98133602,1.0843768,0.64964,0.6224
58,0.97911179,1.09510297,0.65236,0.6174
59,0.97686737,1.0672803,0.65316,0.6213
60,0.96241331,1.11197268,0.65946,0.6129
61,0.95645323,1.06775756,0.65946,0.6278
62,0.95019138,1.07539237,0.66118,0.626
63,0.94607144,1.03501549,0.66228,0.6422
64,0.9400144,1.03885072,0.66164,0.6326
65,0.93374469,1.04012336,0.66656,0.6374
66,0.93114027,1.01945873,0.66896,0.6411
67,0.92180446,1.07123652,0.67208,0.6266
68,0.91210846,1.03255286,0.67426,0.6373
69,0.90402415,1.0327183,0.6786,0.6355
70,0.89969359,1.04137239,0.67954,0.6439
71,0.89229047,1.02381823,0.68222,0.6385
72,0.88651474,1.01710939,0.68192,0.6426
73,0.88126325,1.05561121,0.68684,0.6354
74,0.87506531,1.05794036,0.68786,0.6321
75,0.86717712,1.02980124,0.68954,0.6428
76,0.85978999,1.02492541,0.69294,0.6426
77,0.85326076,0.98617787,0.69736,0.65
78,0.84625673,0.99212978,0.69894,0.6477
79,0.83789077,0.99491249,0.70206,0.6524
80,0.82955516,0.99618937,0.70468,0.6483
81,0.82181416,1.00357783,0.7075,0.6518
82,0.81583282,0.97680826,0.71144,0.6559
83,0.80399319,0.97696337,0.71236,0.6596
84,0.79882341,0.98232454,0.71538,0.6602
85,0.79243902,0.95846104,0.71752,0.663
86,0.78006758,0.9927155,0.72234,0.6597
87,0.7734526,1.01356221,0.7242,0.6548
88,0.76667411,0.94575095,0.72492,0.6731
89,0.75852973,0.97352269,0.72988,0.6654
90,0.75131171,0.98054348,0.73326,0.665
91,0.74105756,0.9647749,0.73534,0.6703
92,0.7323803,0.97960058,0.74012,0.6668
93,0.7282393,0.95718095,0.73996,0.671
94,0.71372748,0.97048135,0.74564,0.6684
95,0.70343351,0.94662885,0.74856,0.6767
96,0.69450102,0.97154476,0.75152,0.6681
97,0.68800752,0.95569471,0.75536,0.6744
98,0.67933969,0.97393314,0.75588,0.6721
99,0.67012181,0.96382383,0.76212,0.6806
100,0.66027271,0.9270148,0.76244,0.6846
