epoch,train_loss,test_loss,train_accuracy,test_accuracy
1,2.15270865,1.80493089,0.28206,0.3384
2,1.73903835,1.73072712,0.3598,0.3751
3,1.66038286,1.65742457,0.3899,0.3931
4,1.59999218,1.60658954,0.41088,0.4204
5,1.56596552,1.58484956,0.42574,0.4352
6,1.52982066,1.5789932,0.44192,0.4268
7,1.51380893,1.56752368,0.4461,0.432
8,1.49253234,1.4928698,0.45606,0.4667
9,1.47084159,1.49765625,0.4647,0.4611
10,1.46227796,1.50950027,0.46836,0.4609
11,1.45195783,1.45885253,0.4724,0.4702
12,1.44390684,1.43103338,0.47458,0.4814
13,1.43182211,1.44881697,0.47794,0.4774
14,1.42465535,1.44839354,0.48454,0.4741
15,1.41604828,1.43224914,0.4832,0.481
16,1.41020897,1.43532958,0.48932,0.4831
17,1.40417339,1.40610382,0.49008,0.491
18,1.40148181,1.39842599,0.48898,0.4955
19,1.39769918,1.38112783,0.49058,0.5043
20,1.39428019,1.38088956,0.49136,0.5
21,1.38505191,1.40792612,0.49776,0.4944
22,1.37996672,1.3691364,0.5022,0.5121
23,1.37641744,1.37922518,0.4999,0.5026
24,1.37635834,1.38259545,0.4993,0.5038
25,1.37034335,1.38466845,0.5023,0.4984
26,1.36474171,1.40704146,0.50562,0.4931
27,1.36334444,1.39174486,0.50758,0.4979
28,1.35774768,1.34014672,0.50758,0.5189
29,1.35463728,1.33539014,0.5108,0.522
30,1.35370017,1.32755259,0.51026,0.5257
31,1.34102873,1.34206985,0.5154,0.5158
32,1.344418,1.31891954,0.51158,0.5281
33,1.33692712,1.35006374,0.5153,0.5145
34,1.33385644,1.30543485,0.51748,0.5303
35,1.33156743,1.3284366,0.51858,0.5209
36,1.33071495,1.32484101,0.5171,0.5224
37,1.31961017,1.31624787,0.52358,0.5228
38,1.31916221,1.30829338,0.52064,0.5355
39,1.31108311,1.31941211,0.52882,0.5229
40,1.31238723,1.2980215,0.52766,0.5289
41,1.30601419,1.30335205,0.5257,0.5285
42,1.30265961,1.29963146,0.52928,0.5335
43,1.29720088,1.28815845,0.53394,0.5433
44,1.29348704,1.26919858,0.53292,0.5446
45,1.28952373,1.28334024,0.53228,0.5355
46,1.28611644,1.28936326,0.53654,0.5335
47,1.28056665,1.30936558,0.53898,0.5341
48,1.27763719,1.28790484,0.5372,0.5355
49,1.27569096,1.26582664,0.5404,0.5503
50,1.26756209,1.26586573,0.54524,0.5471
51,1.26787772,1.24823865,0.54368,0.5518
52,1.25885448,1.22547361,0.5463,0.561
53,1.25711159,1.22839737,0.5481,0.5622
54,1.25138006,1.23219875,0.55024,0.558
55,1.24914926,1.2564569,0.54944,0.5409
56,1.24598129,1.24593236,0.54836,0.5521
57,1.23961736,1.21611331,0.55336,0.5654
58,1.23552422,1.23445926,0.55342,0.5603
59,1.23067556,1.23821806,0.5591,0.5502
60,1.22805148,1.22603896,0.55926,0.5629
61,1.22541997,1.21758021,0.55888,0.5633
62,1.21740559,1.2445764,0.56104,0.5542
63,1.21179973,1.21179079,0.56578,0.5661
64,1.20590341,1.21965075,0.56848,0.5636
65,1.20429932,1.1856583,0.5677,0.5779
66,1.1994274,1.17948071,0.56982,0.5796
67,1.19884722,1.19495209,0.5699,0.5715
68,1.19106205,1.17918988,0.57116,0.5782
69,1.18841306,1.18236626,0.57466,0.5767
70,1.18072227,1.19740308,0.57496,0.5755
71,1.17890481,1.16590731,0.57724,0.5851
72,1.17865248,1.17615079,0.57548,0.5819
73,1.17460518,1.16348881,0.57826,0.588
74,1.17035866,1.15267195,0.58128,0.5872
75,1.16545493,1.14845942,0.58134,0.592
76,1.16318026,1.15626189,0.58422,0.5878
77,1.15417837,1.16668084,0.58686,0.5829
78,1.15142078,1.13663327,0.58822,0.5953
79,1.14905171,1.17117275,0.58726,0.589
80,1.14360157,1.13770015,0.59046,0.5981
81,1.13904975,1.15182053,0.59152,0.5867
82,1.13062502,1.13083549,0.59278,0.5962
83,1.13134744,1.12481005,0.59384,0.6041
84,1.12023202,1.13732514,0.59788,0.5992
85,1.11986899,1.11807469,0.59708,0.6018
86,1.11866791,1.13066643,0.59948,0.5956
87,1.11131088,1.12140162,0.6047,0.5984
88,1.10801106,1.12607968,0.60272,0.6026
89,1.10513784,1.13039086,0.60302,0.604
90,1.09894621,1.1345756,0.60534,0.5949
91,1.0973323,1.13496863,0.60666,0.5997
92,1.09195217,1.11558059,0.6091,0.6033
93,1.0797593,1.1239055,0.61356,0.6059
94,1.08156099,1.11528657,0.6137,0.6074
95,1.0780456,1.08985003,0.61516,0.6158
96,1.0640368,1.09796919,0.61994,0.6119
97,1.06717665,1.09108275,0.61798,0.6195
98,1.05932326,1.10423465,0.62224,0.6124
99,1.05623532,1.07968809,0.6229,0.6206
100,1.05427855,1.08057435,0.62322,0.6136
