epoch,train_loss,test_loss,train_accuracy,test_accuracy
1,4.1377624,3.96649005,0.07262,0.0832
2,3.75868514,3.75998356,0.11794,0.1255
3,3.61417035,3.64168592,0.14072,0.1472
4,3.51489743,3.57153223,0.16006,0.1501
5,3.45746597,3.47086698,0.167,0.1763
6,3.41022708,3.42562524,0.1785,0.1824
7,3.38047065,3.37029939,0.1833,0.1912
8,3.35293978,3.33675943,0.18986,0.1925
9,3.32587969,3.29866132,0.19324,0.1994
10,3.31065527,3.26862661,0.19578,0.2105
11,3.28901111,3.30070132,0.20018,0.2009
12,3.2755006,3.29123782,0.2032,0.2044
13,3.26746999,3.27744635,0.20594,0.2043
14,3.25729138,3.25149857,0.20564,0.2138
15,3.24404478,3.22620077,0.21038,0.2204
16,3.24074573,3.26878742,0.20814,0.2067
17,3.22827524,3.20298128,0.2119,0.2194
18,3.22285891,3.18087716,0.21324,0.2298
19,3.21123636,3.25120033,0.21554,0.2113
20,3.20097008,3.19030298,0.218,0.2265
21,3.19563832,3.18115548,0.21838,0.2225
22,3.18500189,3.17000427,0.22038,0.2279
23,3.18276917,3.1771895,0.21924,0.2272
24,3.17664744,3.27844796,0.22288,0.2071
25,3.16297028,3.12780618,0.22588,0.2328
26,3.15918643,3.16317789,0.2262,0.2284
27,3.15575818,3.15217331,0.2262,0.2308
28,3.14954122,3.11784163,0.22492,0.238
29,3.14289703,3.17039881,0.22818,0.2312
30,3.13475526,3.17841705,0.23224,0.2262
31,3.12566589,3.10599303,0.23018,0.2396
32,3.12269743,3.05960656,0.23156,0.2506
33,3.11132353,3.10671918,0.23424,0.2403
34,3.1067836,3.11401211,0.23432,0.2369
35,3.09893106,3.17417146,0.23718,0.2272
36,3.09596946,3.13494029,0.23784,0.2326
37,3.08714994,3.05422185,0.23822,0.244
38,3.09357092,3.08842072,0.23804,0.2396
39,3.0774675,3.10218812,0.2406,0.2408
40,3.07076141,3.05183058,0.2433,0.2531
41,3.07254924,3.12873293,0.24292,0.2384
42,3.06305673,3.08443474,0.2426,0.2426
43,3.06006196,3.07122518,0.24396,0.2482
44,3.05341339,3.05892834,0.24712,0.2481
45,3.04691911,3.10287913,0.2466,0.239
46,3.03979859,3.08475,0.24904,0.2474
47,3.03630285,3.02505708,0.24734,0.2553
48,3.03279679,3.01896006,0.25174,0.2585
49,3.02436685,3.11142522,0.25136,0.2406
50,3.01395146,3.03034667,0.25314,0.2592
51,3.00828863,3.06224745,0.25424,0.2473
52,3.00350463,3.00700036,0.25502,0.2636
53,2.99532638,3.04339966,0.2583,0.2509
54,2.99521623,2.97929388,0.25652,0.2628
55,2.98476154,3.00226397,0.25894,0.258
56,2.97949255,2.96635027,0.2592,0.269
57,2.97545397,3.00649953,0.26064,0.2598
58,2.96766175,3.02482937,0.26276,0.2582
59,2.96459996,2.96705279,0.2636,0.2737
60,2.9598514,2.95447766,0.26208,0.266
61,2.95266706,2.9421077,0.2659,0.2736
62,2.94237742,2.95928164,0.26792,0.2727
63,2.94334942,2.99109612,0.26686,0.2642
64,2.93039346,2.95392457,0.26778,0.2699
65,2.92296045,2.94984691,0.26976,0.2732
66,2.92004792,2.94680385,0.26826,0.2713
67,2.90935382,2.95171039,0.27594,0.27
68,2.90284837,2.9453008,0.27454,0.2727
69,2.90078693,2.92411346,0.27466,0.28
70,2.88669369,2.97804808,0.27786,0.2655
71,2.88274806,2.93380775,0.2774,0.2791
72,2.87203491,2.94617346,0.27872,0.2733
73,2.86831777,2.87978369,0.28128,0.2877
74,2.85946634,2.89716933,0.28428,0.2844
75,2.85420745,2.88077475,0.28296,0.2871
76,2.85128124,2.8788758,0.28306,0.2866
77,2.84365426,2.90218313,0.28364,0.2823
78,2.83104384,2.90441876,0.29062,0.28
79,2.82557107,2.87075144,0.2882,0.2855
80,2.81340584,2.87762376,0.29114,0.2905
81,2.80354911,2.83535156,0.29554,0.2958
82,2.79797339,2.86410068,0.29402,0.2895
83,2.78370003,2.83392912,0.29886,0.296
84,2.78284551,2.81778045,0.29792,0.3027
85,2.76625433,2.84375058,0.30042,0.2965
86,2.76030808,2.84246628,0.30168,0.2951
87,2.75378048,2.82270112,0.30192,0.3011
88,2.74354599,2.83265746,0.30468,0.2952
89,2.73514548,2.83476226,0.30728,0.3008
90,2.72502593,2.84108469,0.3103,0.2974
91,2.71319489,2.82372042,0.31116,0.3018
92,2.70351498,2.80230603,0.31464,0.3019
93,2.69651722,2.79550985,0.3156,0.3061
94,2.68778285,2.79677839,0.31752,0.3023
95,2.67252791,2.78163711,0.31998,0.3056
96,2.66543326,2.79903518,0.32064,0.3047
97,2.64856059,2.82878031,0.32398,0.2989
98,2.64034096,2.84765837,0.32714,0.2899
99,2.63307943,2.78226909,0.32784,0.3111
100,2.61496561,2.7725312,0.33156,0.3039
101,2.60848877,2.73985738,0.33264,0.3156
102,2.59950256,2.74305253,0.33354,0.3144
103,2.587872,2.75463828,0.33594,0.3139
104,2.57118221,2.73913726,0.34034,0.3172
105,2.56006302,2.72457442,0.34318,0.3222
106,2.54626662,2.73155093,0.34464,0.3207
107,2.53429385,2.74967542,0.34834,0.3154
108,2.5184672,2.74193933,0.35416,0.3088
109,2.50805399,2.71792559,0.35124,0.3157
110,2.4971291,2.69733308,0.35572,0.3283
111,2.48103255,2.71249345,0.35988,0.3213
112,2.46654921,2.69774228,0.36224,0.3292
113,2.46051973,2.70635884,0.36334,0.3237
114,2.43334766,2.69517382,0.3684,0.3296
115,2.41930294,2.69070405,0.37136,0.3328
116,2.4117708,2.68048431,0.37332,0.3303
117,2.39078385,2.68338612,0.377,0.3322
118,2.37526016,2.66000166,0.38304,0.339
119,2.36775235,2.67943253,0.38288,0.3319
120,2.35080685,2.67703383,0.38654,0.3338
121,2.3281982,2.66136896,0.39054,0.3402
122,2.31849256,2.65137511,0.39464,0.3445
123,2.30278157,2.67543242,0.39572,0.3385
124,2.290865,2.66248771,0.40022,0.3343
125,2.26670465,2.64050217,0.40366,0.346
126,2.25203215,2.62708352,0.40832,0.3526
127,2.23181921,2.64224196,0.41428,0.3493
128,2.21164147,2.61998041,0.41688,0.3528
129,2.19235211,2.62450926,0.42072,0.3497
130,2.17789628,2.62744319,0.424,0.351
131,2.16380465,2.63184194,0.42536,0.3521
132,2.13961872,2.63392123,0.43236,0.3517
133,2.12734328,2.62033957,0.43406,0.3519
134,2.10777749,2.62881008,0.43738,0.3515
135,2.09189931,2.62488435,0.4443,0.3532
136,2.07578594,2.63263043,0.4474,0.3548
137,2.0587957,2.62549735,0.45006,0.3599
138,2.04446985,2.60767091,0.4545,0.36
139,2.02318614,2.63468308,0.45716,0.3547
140,2.0132397,2.62304151,0.46144,0.3586
141,1.9976127,2.61855466,0.46858,0.3628
142,1.98274019,2.6201616,0.47202,0.3591
143,1.97173235,2.62816468,0.47218,0.3645
144,1.95725847,2.62911993,0.47418,0.363
145,1.94221191,2.6223614,0.4781,0.3623
146,1.93530782,2.62347863,0.48208,0.361
147,1.9184021,2.63337432,0.48444,0.3639
148,1.92116216,2.63007393,0.48346,0.3611
149,1.90971174,2.62916309,0.48526,0.3615
150,1.90343712,2.63873415,0.48826,0.362
